texto,codigo_ciuo_1d
"OCUPACIÓN: ELABORADORA Y VENDEDORA DE MERMELADAS Y ROPA USADA; TAREA: COMPRA Y ORDENA ROPA Y MERCADERÍA, ELABORA MERMELADAS, OFRECE Y VENDE, A DOMICILIO Y EN FERIAS",7
OCUPACIÓN: RESTAURADOR DE CALENTADOR; TAREA: COMPRA Y VENDE CALENTADORES Y RESTAURA  CALENTADORES A CLIENTES,7
"OCUPACIÓN: COSECHAR TOMATES DE MANERA INDEPENDIENTE; TAREA: COSECHAR TOMATES, LIMPIAR SITIOS",9
"OCUPACIÓN: ASESORIA ADMINISTRATIVA A EMPRESA; TAREA: EMITE FACTURA, REVISA LISTADO DE CLIENTES, PLANIFICACIÓN DE LA CARGA LABORAL",3
"OCUPACIÓN: AGRICULTOR; TAREA: COMPRAR INSUMOS, SEMBRAR, COSECHAR, VENDER",6
"OCUPACIÓN: SERVICIOS DE INSTALACIÓN ELÉCTRICA DOMICILIARIA; TAREA: CLIENTES LO CONTACTAN POR BOCA A BOCA, REALIZA PRESUPUESTO, ACUERDO, ENTREGA SERVICIO.",7
OCUPACIÓN: VENTA DE ÚTILES DE ASEO; TAREA: VENTA ÚTILES DE ASEO,5
"OCUPACIÓN: JARDINERO; TAREA: LIMPIA SITIOS, SACA MALEZAS, PODA",6
"OCUPACIÓN: CONTRATISTA DE EMPRESA DE ASEO; TAREA: ASEO Y MANTENIMIENTO EN OFICINAS, COMPRA DE INSUMOS, COORDINACIÓN DE TRABAJADORES.",5
"OCUPACIÓN: CONSTRUCCIÓN Y AMPLIACIÓN DE VIVIENDAS PARTICULARES; TAREA: CONSTRUCCIÓN, APLICACIÓN Y MEJORAMIENTO DE VIVIENDAS",7
"OCUPACIÓN: VENTA DE FIGURAS DE YESO; TAREA: COMPRA, PINTA Y VENDE FIGURAS DE YESO.",5
"OCUPACIÓN: REPOSTERA; TAREA: ELABORACIÓN, VENTA, COMPRA DE INSUMOS, PROPAGANDA EN FACEBOOK E INSTAGRAM",7
OCUPACIÓN: VENDEDOR DE CAJAS DE PLÁTANO Y CAJONES DE MADERA; TAREA: COMPRAR Y VENDER CAJAS DE PLÁTANO Y CAJONES DE MADERA EN FERIAS LIBRES.,9
OCUPACIÓN: AMASANDERA; TAREA: ELABORACIÓN Y VENTA DE TORTILLAS,7
"OCUPACIÓN: PUBLICISTA; TAREA: ANUNCIOS PUBLICITARIOS, DOCUMENTALES",2
OCUPACIÓN: COMPRAR Y VENDE; TAREA: CORTAR Y VENDER LEÑA,9
OCUPACIÓN: CONTADORA GENERAL; TAREA: REALIZAR SERVICIOS DE CONTABILIDAD A PARTICULARES.,3
OCUPACIÓN: TÉCNICO ELECTRÓNICO.; TAREA: COMPRAR REPUESTOS Y POSTERIORMENTE REPARAR TELEVISORES Y RADIOS,3
OCUPACIÓN: PSICOLOGÍA; TAREA: PRESTACIÓN DE SERVICIOS A PERSONAS PARTICULARES O EMPRESAS.,2
OCUPACIÓN: VENDEDORA; TAREA: COMPRA Y VENTA DE ROPA Y ARTÍCULOS DEL HOGAR,5
OCUPACIÓN: DESARROLLO DE PROYECTOS INMOBILIARIO; TAREA: BUSCA TERRENOS E INVERSIONISTAS PARA QUE INVIERTAN EN CASAS,3
"OCUPACIÓN: ADMINISTRACIÓN DE SU PROPIA EMPRESA; TAREA: CONTACTA CLIENTES, COMPRA INSUMOS, ENVÍA CORREOS",1
"OCUPACIÓN: ASESOR DE SEGURIDAD PORTUARIA; TAREA: REALIZA ACTIVIDADES PARA MANTENER EL ESTÁNDAR DE SEGURIDAD PORTUARIA DE LAS EMPRESAS, LO CUAL SE BASA EN REALIZAR ASESORÍAS, CAPACITACIONES Y VERIFICACIÓN DE LAS NORMAS",2
OCUPACIÓN: REPARTE PRODUCTOS SUPERMERCADOS; TAREA: ENTREGA PEDIDOS O LÍNEAS DESDE SUPERMERCADOS,999
"OCUPACIÓN: CARNICERO; TAREA: ATENDER MESÓN DE CARNICERÍA, REALIZAR CORTES, PESAR",7
OCUPACIÓN: ATIENDE NEGOCIOS; TAREA: ATENCIÓN AL CLIENTE,5
"OCUPACIÓN: GASFITERIA, CARPINTERÍA, CERRAJERÍA Y ELECTRICIDAD; TAREA: REALIZAR ARREGLOS, REPARACIONES A DOMICILIO",7
"OCUPACIÓN: COSTURERA CONFECCIÓN DE PRENDAS; TAREA: TOMAR PEDIDOS, ASESORAR, COMPRAR INSUMOS, ENTREGAS A DELIVERY, ADMINISTRAR, DISEÑAR",7
"OCUPACIÓN: AGRICULTOR; TAREA: PRODUCIR, COSECHAR, VENDER FRUTOS",6
OCUPACIÓN: VENTA ROPA USADA; TAREA: VENDE ROPA USADA ATIENDE PUBLICO EN FERIAS,9
OCUPACIÓN: CONSTRUCCIÓN; TAREA: CARPINTERÍA,7
OCUPACIÓN: COMERCIANTE; TAREA: COMPRA VENTA Y REPARACIÓN,7
"OCUPACIÓN: CONFECCIONAR PRODUCTOS DE LÍNEA DE HOGAR COMO CORTINAS, SÁBANAS, ALMOHADAS, PARA LUEGO VENDERLOS; TAREA: COMPRAR INSUMOS, CONFECCIONAR MEDIANTE COSTURERÍA ARTÍCULOS DE HOGAR COMO CORTINAS, SÁBANAS Y ALMOHADAS, CONTACTAR CON CLIENTES, TRASLADAR SUS PRODUCTOS A FERIAS, VENDER LOS PRODUCTOS.",7
OCUPACIÓN: COMPRA Y VENTA DE JOYAS DE PLATA; TAREA: VENTA JOYAS DE PLATA,5
OCUPACIÓN: ATIENDE PUBLICO COMPRAS NACIONALES REMUNERACIONES; TAREA: GERENTE GENERAL Y ADMINISTRATIVO,5
"OCUPACIÓN: TÉCNICO MAQUINAS Y HERRAMIENTAS; TAREA: MANTENCION, REPARACIÓN Y VENTAS",7
OCUPACIÓN: CONTADOR GENERAL; TAREA: CONTADOR,3
OCUPACIÓN: COMERCIANTE AMBULANTE QUE VENDE PALTAS; TAREA: COMPRAR Y VENDER PALTAS AL POR MAYOR Y AL DETALLE,9
"OCUPACIÓN: COMERCIANTE HE INTERMEDIARIO DE VENTAS DE VEHÍCULOS Y TERRENOS; TAREA: CONTACTARSE CON QUIENES QUIERAN VENDER Y VENDER SUS PRODUCTOS A OTROS CLIENTES Y RECIBIR PAGOS POR DICHAS VENTAS, COMO UNA COMISIÓN POR VENTAS",3
"OCUPACIÓN: DISEÑADORA DE PAPELERÍA; TAREA: COMPRAR INSUMOS, TOMAR PEDIDOS, ELABORAR Y VENDER AGENDAS O CUADERNOS.",7
OCUPACIÓN: PREPARACIÓN DE CARBÓN Y VENTA; TAREA: PREPARACIÓN DE CARBÓN Y VENTA,6
OCUPACIÓN: MANUTENCIÓN REPARACIONES Y CONSTRUCCIÓN VIVIENDAS; TAREA: HACE TRABAJOS EN CONSTRUCCIÓN EN GENERAL,7
OCUPACIÓN: CONSTRUCCIÓN Y MANTENIMIENTO DE VIVIENDAS; TAREA: CONSTRUCCIÓN Y MANTENIMIENTO DE VIVIENDAS,7
OCUPACIÓN: CAPTACIÓN DE CLIENTES PARA RESERVA HOTELERA Y TRADUCTOR; TAREA: CAPTA CLIENTES,2
OCUPACIÓN: VENDEDORA CARRO VÍA PUBLICA; TAREA: PREPARA Y VENDE PRODUCTOS ALIMENTICIOS EN VÍA PÚBLICA,5
OCUPACIÓN: COBRAR CARTERAS VENCIDAS A LABORATORIOS Y HOSPITALES; TAREA: COBRAR CARTERAS VENCIDAS,4
OCUPACIÓN: CREACIÓN Y VENTA PINTURAS PERSONALIZADAS; TAREA: PROMOCIÓN RR. SS. Y PRESENCIAL,2
"OCUPACIÓN: JEFE DE FLOTA DE LANCHA; TAREA: ADMINISTRA, COMPRA Y VENDE LOS PRODUCTOS RECOLECTADO DEL MAR Y TRABAJA Y ARRIENDA UNA EMBARCACION DE PESCA ARTESANAL",6
OCUPACIÓN: ADMINISTRADOR DE PROYECTOS; TAREA: CERTIFICACION DE INN Y EJECUTADOR DE PROYECTOS,1
OCUPACIÓN: PESCA Y VENDE PRODUCTOS DEL MAR; TAREA: PESCA Y VENDE PRODUCTOS DEL MAR,6
OCUPACIÓN: CONSTRUCCIÓN; TAREA: CONSTRUCCIÓN Y REPARACIÓN DE VIVIENDAS,7
OCUPACIÓN: TÉCNICO DE REPARACIÓN DE TELÉFONOS Y COMPUTADORES.; TAREA: REPARACIÓN DE TELÉFONOS,7
OCUPACIÓN: FABRICACIÓN Y VENTA SILLAS; TAREA: ARREGLA CORTA FABRICA. GESTIÓN ADMINISTRATIVA,7
"OCUPACIÓN: PUBLICISTA; TAREA: REALIZAR PUBLICIDAD, PROMOCIÓN, MARKETING",2
OCUPACIÓN: VENDE QUESO Y CABRITOS; TAREA: VENTA DE QUESO.,6
"OCUPACIÓN: PUBLICISTA EN TARJETAS DE PRESENTACIÓN PARTES DE MATRIMONIO; TAREA: CREA LA IMAGEN, COLORES, LOGOTIPO, MATERIAL CORPORATIVO. PROMOCIONA EN REDES SOCIALES, LA  GENERACIÓN DE  CONTENIDO: LENGUAJE SENCILLO, CREA LA COMUNICACIÓN, ES DECIR, COMO DEBE HABLAR: QUE TONO USAR, ATIENDE  CLIENTES",2
OCUPACIÓN: SIEMBRA Y COSECHA DE VERDURAS; TAREA: SIEMBRA Y COSECHA DE VERDURAS Y VENTA DE ANIMALES,6
"OCUPACIÓN: LEÑADOR; TAREA: VENDER LEÑA, ADMINISTRAR EL ASERRADERO, LLEVAR LA CONTABILIDAD, ATENCIÓN DE CLIENTES",8
OCUPACIÓN: ELABORACIÓN DE EMPANADAS EN FERIA LIBRE; TAREA: ELABORACIÓN DE EMPANADAS VENTA EN FERIAS LIBRES CON UN CARRITO,5
OCUPACIÓN: VENTA DE MARISCOS Y PESCADOS; TAREA: VENDER,6
OCUPACIÓN: ORGANIZAR Y PRODUCCIÓN DE EVENTOS; TAREA: DJ,2
OCUPACIÓN: VENDER ROPA USDA EN LA FERIA DE LAS PULGAS; TAREA: VENDER ROPA USADA FERIA LAS PULGAS DE LAS COMPAÑIAS,5
"OCUPACIÓN: CONSTRUCCIÓN DE PUNTERAS; TAREA: CONTACTAR CLIENTES, COMPRAR INSUMOS, CONSTRUIR PUNTERAS",7
OCUPACIÓN: ADMINISTRADORA DE CORREO; TAREA: ADMINISTRADORA DE CORREO,999
OCUPACIÓN: CHÓFER DE VEHICULO; TAREA: CHÓFER DE VEHÍCULO,8
OCUPACIÓN: CULTIVADOR; TAREA: CULTIVAR Y COSECHAR,6
"OCUPACIÓN: VENDEDORA DE ROPA PARA ADULTOS NIÑOS Y CASA; TAREA: VENDEDORA DE ROA PARA ADULTOS ,NIOS Y CASA",5
OCUPACIÓN: ELABORADORA Y VENDEDORA DE POSTRES EN LA VÍA PÚBLICA; TAREA: VENDER POSTRES EN LA VÍA PÚBLICA,5
OCUPACIÓN: PROYECTOS HABITACIONALES; TAREA: PROYECTOS HABITACIONALES,999
OCUPACIÓN: SUPLEMENTERA; TAREA: SUPLEMENTERA,9
"OCUPACIÓN: COMERCIANTE; TAREA: ADMINISTRACIÓN, COMPRA Y VENTA",5
"OCUPACIÓN: REPARAR Y MANTENER LAS PARTES ELECTROMECÁNICAS DE VEHÍCULOS MENORES.; TAREA: COMPRAR INSUMOS, REPARAR Y MANTENER EQUIPOS Y HERRAMIENTAS, PROMOCIONAR SU NEGOCIO ELECTROMECÁNICO, CONTACTAR CLIENTES, REPARAR Y MANTENER LA PARTE ELECTROMECÁNICA DE VEHÍCULOS MENORES.",7
"OCUPACIÓN: INSTALADOR DE ANTENAS DE TELEVISIÓN; TAREA: COMPRA, VENDE, INSTALA, RECIBE DINERO",7
OCUPACIÓN: MECANICA; TAREA: AYUDANTE MECÁNICO,9
"OCUPACIÓN: CONSTRUCTOR DE BARCOS.; TAREA: NEGOCIACIÓN, PARTE ADMINISTRATIVA",7
OCUPACIÓN: ELÉCTRICO; TAREA: ELÉCTRICO AUTOS,7
"OCUPACIÓN: REPARAR Y MANTENER VEHÍCULOS.; TAREA: COMPRAR INSUMOS, MANTENER HERRAMIENTAS, CONTACTAR CLIENTES, TRASLADARSE A DOMICILIO DE CLIENTES CUANDO CORRESPONDE, REPARAR Y MANTENER VEHÍCULOS.",7
"OCUPACIÓN: MAESTRO ELECTRICISTA; TAREA: TOMAR PEDIDOS,COMPRAR INSUMOS Y PRESTAR SERVICIO DE ELECTRISISTA A DOMICILIO.",7
"OCUPACIÓN: COMERCIANTE AMBULANTE QUE VENDE ROPA USADA.; TAREA: COMPRAR FARDOS, REALIZAR VENTA.",9
"OCUPACIÓN: CULTIVAR, COSECHAR Y ELABORACIÓN DE VINOS; TAREA: CULTIVO Y COSECHA",7
OCUPACIÓN: RASQUETEADORA DE HOJAS A DOMICILIO.; TAREA: TOMAR PEDIDOS Y PRESTAR EL SERVICIO A DOMICILIO.,999
"OCUPACIÓN: PRESTADOR DE SERVICIOS A PARTICULARES; TAREA: PICAR LEÑA, ORDENAR PATIOS",9
OCUPACIÓN: FABRICACION Y REPARACION DE CAJAS ACUSTICAS; TAREA: FABRICACION Y REPARACION DE CAJAS ACUSTICAS,7
"OCUPACIÓN: CONSTRUCTOR; TAREA: GESTIONAR PROYECTOS DE CONSTRUCCIÓN, DIRIGIR OBRAS DE CONSTRUCCIÓN",1
OCUPACIÓN: VENDEDORA DE MATERIALES ELÉCTRICOS; TAREA: VENDER MATERIALES ELECTRICOS,5
"OCUPACIÓN: CHAPISTA; TAREA: REPARAR ABOLLADURAS DE VEHÍCULOS EN GENERAL, LIJAR, PINTAR, SOLDAR",7
"OCUPACIÓN: VENDEDOR AMBULANTE DE HERRAMIENTAS  USADAS, ROPA: NUEVA Y USADA; TAREA: COMPRA, SEPARA, ORDENA, OFRECE Y VENDE HERRAMIENTAS, Y ROPA: USADA Y NUEVA",9
OCUPACIÓN: ADMINISTRA SU PROPIA EMPRESA; TAREA: HACE FLETES A PARTICULARES,8
OCUPACIÓN: DEPILACIÓN A CLIENTES; TAREA: ADMINISTRADORA Y ADEMÁS DEPILADORA,5
OCUPACIÓN: VENDEDOR DE FOTOGRAFÍAS IMANES; TAREA: VENDER FOTOGRAFÍAS CON IMANES,7
"OCUPACIÓN: REPOSTERA; TAREA: ELABORAR PRODUCTOS DE REPOSTERÍA, COMPRAR MATERIAS PRIMAS, COCINAR, VENDER PRODUCTOS POR ENCARGO",7
"OCUPACIÓN: VENDEDOR DE GAS; TAREA: ADMINISTRAR STOCK, CONTACTAR CLIENTES Y PROVEEDORES",5
"OCUPACIÓN: SERVICIO DE CONTABILIDAD; TAREA: SERVICIOS DE ASESORÍA CONTABLE COMO DECLARACIÓN DE IVA, DECLARACIONES DE RENTA, CONTRATOS DE TRABAJO, FINIQUITOS, ETC.",2
OCUPACIÓN: ADMINISTRAR EL BUEN FUNCIONAMIENTO DEL PREDIO AGRÍCOLA.; TAREA: CONTROLAR EL BUEN FUNCIONAMIENTO DE PREDIO AGRÍCOLA Y SUS TRABAJADORES,6
"OCUPACIÓN: MANTENCIÓN DE PARCELAS; TAREA: CORTAR PASTO, PODAR ÁRBOLES, SACAR RAMAS, REGAR CON BOMBAS.",9
"OCUPACIÓN: VENDEDOR DE CABLES, CARCASAS Y OTROS ARTÍCULOS PARA TELÉFONOS CELULARES; TAREA: VENDER, ORIENTAR A LOS CLIENTES EN LO QUE NECESITAN, PUBLICAR PRODUCTOS EN INTERNET",5
OCUPACIÓN: VENDEDORA AMBULANTE; TAREA: COMPRA Y VENTA DE ROPA DE TEMPORADA,9
OCUPACIÓN: SERVICIO DE INSTALACIÓN MEDIOS DE COMUNICACIÓN; TAREA: SERVICIO DE INSTALACIÓN MEDIOS DE COMUNICACIÓN,7
OCUPACIÓN: DISEÑADOR DE LETREROS; TAREA: DISEÑO Y CONFECCIÓN DE LETREROS,7
"OCUPACIÓN: MAESTRO HOJALATERO; TAREA: COMPRAR MATERIA PRIMA, CONFECCIÓN DE CAÑOS Y PRODUCTOS AFINES, ATENCION DE CLIENTE.",7
"OCUPACIÓN: MAESTRO HOJALATERO; TAREA: CONTACTAR CLIENTES, COMPRAR DE INSUMOS, CONFECCIÓN DE HOJALATAS, VENTA DE HOJALATAS E INSTALACIÓN DE HOJALATAS",7
OCUPACIÓN: COMPRA ROPA A UN PRECIO Y LO VENDE A UNO MAYOR; TAREA: RECOLECTA Y COMPRA ROPA Y LUEGO LA VENDE,5
OCUPACIÓN: FABRICAR Y DISEÑAR LOS MUEBLES; TAREA: LLEVAR LA CONTABILIDAD DE LA INDUSTRIA MANUFACTURERA Y DISEÑAR LOS MUEBLES,7
OCUPACIÓN: VENDEDORA AMBULANTE; TAREA: VENDE PRODUCTOS Y ARTÍCULOS PARA MASCOTAS,9
"OCUPACIÓN: ELABORACIÓN DE PAN Y PASTELES; TAREA: HACER PAN, PREPARAR EL NEGOCIO PARA ABRIR, ATENDER EL LOCAL, COMPRAR INSUMOS Y MERCADERÍA, ADMINISTRAR EL NEGOCIO",7
"OCUPACIÓN: ARTESANA; TAREA: RECOLECTA INSUMOS (PALLET), REALIZA CORTE DE PIEZAS, DISEÑO Y CONFECCIÓN DE ARTESANÍAS (BANDEJAS Y POSAVASOS), VENTA Y COMERCIALIZACIÓN EN EL MERCADO LOCAL",7
OCUPACIÓN: CONTADOR; TAREA: LLEVA CONTABILIDAD DE PEQUEÑAS EMPRESAS EN REMUNERACIONES,3
OCUPACIÓN: ELABORACIÓN Y VENTA; TAREA: ELABORACIÓN Y VENTA,7
OCUPACIÓN: DUEÑO DE HOSPEDAJE; TAREA: RECEPCIÓN DE PASAJEROS Y APOYO ADMINISTRATIVO,5
OCUPACIÓN: CONSTRUCCIÓN Y RESTAURACIÓN; TAREA: CONSTRUCCIÓN,7
"OCUPACIÓN: VENDEDORA DE VERDURAS; TAREA: COMPRAR LA MERCADERÍA, VENDERLA Y ATENCIÓN A CLIENTES",5
"OCUPACIÓN: TÉCNICO ELECTRICISTA; TAREA: REALIZA PLANOS Y PROYECTOS DE INSTALACIÓN DE LUZ ELÉCTRICA EN OBRAS MENORES Y MANTENIMIENTO ELÉCTRICO, REFACCIONES Y MEJORAS EN VIVIENDAS",3
"OCUPACIÓN: CONFECCIÓN DE FUNDAS DE GRAN ENVERGADURA O TELONES PARA EVENTOS; TAREA: CONFECCIÓN DE FUNDAS DE GRAN ENVERGADURA O TELONES PARA EVENTOS, ADEMÁS DE COSTURAS MENORES, COMPRA DE TELAS Y MANUTENCIÓN DE SUS MÁQUINAS",7
"OCUPACIÓN: MECÁNICO AUTOMOTRIZ; TAREA: COMPRAR REPUESTOS, ARREGLAR VEHÍCULOS, CONTACTAR CLIENTES",7
"OCUPACIÓN: JARDINERA; TAREA: ARAR TIERRA, COMPRAR PLANTAS Y MANTENCIÓN DE JARDINES",6
OCUPACIÓN: COCINERO Y PLANCHERO DE COMIDA RAPIDA; TAREA: COCINAR COLACIONES MENÚS RÁPIDOS Y AL PASO,9
"OCUPACIÓN: PREPARACION Y VENTA DE COMIDA RAPIDA; TAREA: PREPARACION Y VENTA DE COMIDA RAPIDA COMO POR EJEMPLO PAPAS FRITAS CHAPARITAS ,SOPAIPILLAS Y CALZONES ROTOS",9
"OCUPACIÓN: COMERCIANTE AMBULANTE DE ROPA USADA.; TAREA: COMPRAR MERCADERÍA, TRANSPORTARSE A LAS FERIAS Y VENDER SUS PRODUCTOS.",9
OCUPACIÓN: TRABAJA DE COLERA EN FERIAS; TAREA: VENDE CACHUREOS Y ROPA,9
"OCUPACIÓN: ADMINISTRADORA Y PROPIETARIA DE CORREDORA; TAREA: ADMINISTRA, VE RECURSOS HUMANOS Y SE ENCARGA DE LA LOGÍSTICA.",3
OCUPACIÓN: TÉCNICO; TAREA: TÉCNICO,7
OCUPACIÓN: CORTAR ÁRBOLES PARA LUEGO HACER LAS ASTILLAS; TAREA: BUSCAR EN EL PREDIO LOS ÁRBOLES LOS CUALES PUEDE CORTAR PARA LUEGO HACER ASTILLAS,6
"OCUPACIÓN: TRASLADAR ESCOLARES DESDE SUS VIVIENDAS A SUS ESCUELAS Y DE SUS ESCUELAS A SUS VIVIENDAS.; TAREA: MANTENER SU VEHÍCULO, CONTACTAR CLIENTES, TRASLADAR ESTUDIANTES DESDE SUS VIVIENDAS A SUS ESCUELAS Y DE SUS ESCUELAS A SUS VIVIENDAS.",8
OCUPACIÓN: VENDEDORA; TAREA: VENDE JUGOS NATURALES,5
"OCUPACIÓN: VENDEDOR DE DULCES TÍPICOS EN LA RUTA; TAREA: COMPRAR A PROVEEDORES, DIRIGIRSE A LA RUTA, VENDER PRODUCTOS",9
"OCUPACIÓN: FLETERO; TAREA: TRANSPORTAR, CARGAR Y DESCARGAR CARGA. CONTACTO DE CLIENTES.",8
OCUPACIÓN: COMERCIANTE QUE VENDE VESTUARIOS USADOS; TAREA: VENDER Y OFRECER LOS VESTUARIOS USADOS POR LAS REDES SOCIALES Y FERIAS,5
OCUPACIÓN: CONTADOR INDEPEDOENTE; TAREA: CONTADOR INDEPEDIENTE,2
"OCUPACIÓN: COMPRA MATERIA PRIMA, PREPARACIÓN Y VENTA; TAREA: PREPARACIÓN DE PRODUCTOS Y VENTA",7
OCUPACIÓN: VENDEDOR DE ARTÍCULOS DE ASEO; TAREA: VENDER ARTÍCULOS DE ASEO.,5
"OCUPACIÓN: VENTA DE ROPA, ZAPATILLA Y LENTES; TAREA: VENTA DE ROPA, ZAPATILLA Y LENTES",5
OCUPACIÓN: VENDEDORA; TAREA: VENDE AGUA Y BEBIDAS,5
OCUPACIÓN: HACE FLETE A PARTICULARES.; TAREA: TRABAJA A  PARTICULARES REALIZANDO FLETES.,8
OCUPACIÓN: MAESTRO EN MANTENCION DE ESTUFAS; TAREA: ATIENDE PEDIDOS DE CLIENTES Y SE TRASLADA AL LUGAR CON SUS HERRAMIENTAS,7
OCUPACIÓN: CONTADORA; TAREA: CONTADORA,2
"OCUPACIÓN: MAESTRO ALBAÑIL A DOMICILIOS PARTICULARES; TAREA: REALIZA TRATO DE PALABRA CON SUS CLIENTES, DE TRABAJOS A REALIZAR, COTIZA PRECIOS DE MATERIALES Y HACE PRESUPUESTO DE GASTOS TOTALES PARA QUE CLIENTE COMPRE LOS MATERIALES. ARREGLA PISOS, HACE RADIER, PEGA CERÁMICAS, RECOGE ESCOMBROS, ARREGLA LLAVES",7
OCUPACIÓN: PSICÓLOGA CLÍNICA; TAREA: ATENCIÓN A PERSONAS EN PSICOLOGÍA CLÍNICA ESPECIALIZADA.,2
"OCUPACIÓN: MAESTRA DE REIKI; TAREA: REALIZAR TERAPIAS CON TÉCNICAS DE CANALIZACIÓN Y TRANSMISIÓN DE ENERGÍA A TRAVÉS DE LAS MANOS Y CONVERSACIÓN CON  EL PACIENTE, CONSEGUIR EL BIENESTAR EN TODOS LOS NIVELES FÍSICOS, MENTAL, EMOCIONAL Y ESPIRITUAL, EN VARIAS SECCIONES SEGÚN DOLENCIA",5
"OCUPACIÓN: COMERCIANTE; TAREA: VENDE BEBIDAS, EMPANADAS EMBUTIDOS, AZÚCAR ETC.",5
"OCUPACIÓN: CONTADOR GENERAL; TAREA: INICIACIÓN Y PAGO DE IMPUESTOS, BALANCES, DECLARACIÓN DE RENTA, PAGO DE COTIZACIONES, DECLARACIÓN JURADA DE RENTA",3
"OCUPACIÓN: MAESTRO CONSTRUCTOR; TAREA: COTIZAR, PLANIFICAR PROYECTOS, EVALUAR TERRENO  Y ASESORAR DE CLIENTES",7
"OCUPACIÓN: PREPARACIÓN DE TORTAS Y COCTELERÍA; TAREA: ELABORACIÓN Y VENTA DE TORTAS Y COCTELERÍA, COMPRA DE INSUMOS, CONTACTO CON CLIENTES",5
OCUPACIÓN: VENTA DE REPOSTERÍA; TAREA: COMPRA INSUMOS Y VENDE REPOSTERÍA,7
OCUPACIÓN: GUÍA DE TURISMO; TAREA: GUÍA DE TURISMO,5
"OCUPACIÓN: VENDEDOR INDEPENDIENTE; TAREA: VENTA DE PRODUCTOS, COMUNICACIÓN CON CLIENTES",5
OCUPACIÓN: ARQUUTECTO; TAREA: INTERPRETACION PLANOS  ASESORIA DISEÑO CASAS ETC,2
"OCUPACIÓN: VENDEDORA DE ALMACÉN; TAREA: VENDER, COMPRAR MERCADERÍA, REPONER, LLEVAR LAS CUENTAS",5
"OCUPACIÓN: ATIENDE LOCAL DE LLAMADAS TELEFÓNICAS Y CAJA VECINA; TAREA: ATIENDE PUBLICO, ABRE Y CIERRA LOCAL, HACE FOTOCOPIAS, ORDENA TIENDA, COMPRA PRODUCTOS.",5
OCUPACIÓN: COMPRA DE MATERIALES Y CONSTRUCCIÓN HABITACIONAL; TAREA: COMPRA DE MATERIALES Y CONSTRUCCIÓN HABITSCIONAL,7
"OCUPACIÓN: COMERCIANTE AMBULANTE DE ROPA NUEVA Y USADA; TAREA: CONTACTAR PROVEEDORES, COMPRAR ROPA, PLANCHAR, ORDENAR Y VENDER ROPA NUEVA Y USADA",9
OCUPACIÓN: BISUTERÍA EN PLATA Y PIEDRAS; TAREA: COMPRAS FABRICAR Y VENTA,7
